date,deployment,namespace,cpu_cost,memory_cost,storage_cost,network_cost,total_cost,cpu_hours,memory_gb_hours,storage_gb
2025-09-15,nginx-deployment,default,7.184525093395762,5.388393820046821,3.592262546697881,1.7961312733489405,17.961312733489404,44.99520985076067,170.62018657098096,33.61708854681123
2025-09-16,nginx-deployment,default,5.420851298863897,4.065638474147923,2.7104256494319485,1.3552128247159743,13.552128247159741,72.49154624968835,125.51231083522771,53.014573967763575
2025-09-17,nginx-deployment,default,5.832593632252772,4.374445224189579,2.916296816126386,1.458148408063193,14.58148408063193,60.22937580537555,94.75651180953167,34.0603732182311
2025-09-18,nginx-deployment,default,6.296856518107354,4.722642388580516,3.148428259053677,1.5742141295268386,15.742141295268386,24.311759776223447,53.48189409721624,51.219758762917415
2025-09-19,nginx-deployment,default,5.259473226358538,3.9446049197689033,2.629736613179269,1.3148683065896345,13.148683065896345,31.8440008591191,135.4094765615563,64.0759462414918
2025-09-20,nginx-deployment,default,6.298352822537176,4.723764616902882,3.149176411268588,1.574588205634294,15.74588205634294,79.98167139826569,174.16272146851418,59.307134577898346
2025-09-21,nginx-deployment,default,6.7706168979649295,5.077962673473697,3.3853084489824647,1.6926542244912324,16.926542244912323,75.53108510208655,99.64587190433747,96.12265812142373
2025-09-22,nginx-deployment,default,5.124671393148159,3.843503544861118,2.5623356965740793,1.2811678482870397,12.811678482870395,29.963484778958605,115.64983354293925,97.4824726485083
2025-09-23,nginx-deployment,default,7.123656245873071,5.342742184404803,3.5618281229365354,1.7809140614682677,17.809140614682676,59.111289723020285,164.95526933615514,20.66613172301133
2025-09-24,nginx-deployment,default,6.435739735348375,4.8268048015112806,3.2178698676741875,1.6089349338370937,16.089349338370937,30.197247300503957,157.1816351227579,22.328886863755763
2025-09-25,nginx-deployment,default,5.231121023328171,3.9233407674961276,2.6155605116640857,1.3077802558320428,13.077802558320426,46.80873682901766,181.63041679365074,46.34783145184991
2025-09-26,nginx-deployment,default,7.047264043969652,5.285448032977238,3.523632021984826,1.761816010992413,17.61816010992413,52.9426391277001,129.22671340220813,89.25436103637954
2025-09-27,nginx-deployment,default,5.0240374058953865,3.7680280544215394,2.5120187029476932,1.2560093514738466,12.560093514738465,22.44042701592886,135.48239864179916,70.02616602042829
2025-09-28,nginx-deployment,default,6.364944583493656,4.773708437620241,3.182472291746828,1.591236145873414,15.91236145873414,59.29870898169748,76.18125213792922,17.577215321745463
2025-09-29,nginx-deployment,default,5.822084213126851,4.366563159845137,2.9110421065634253,1.4555210532817127,14.555210532817126,64.55544136298184,183.95141249794347,56.1059765606335
